Year,Club_1,Games1,Total_1,Avg_1
2015,Melbourne Victory,13,300452,23112
2015,Sydney FC,14,224999,16071
2015,Western Sydney Wanderers,14,205950,14711
2015,Adelaide United,15,212344,14156
2015,Brisbane Roar,15,200052,13337
2015,Melbourne City,15,165930,11062
2015,Newcastle Jets,14,134112,9579
2015,Perth Glory,13,116824,8986
2015,Central Coast Mariners,14,113560,8111
2015,Wellington Phoenix,13,104621,8048
2016,Melbourne Victory,15,328317,21888
2016,Sydney FC,15,271492,18099
2016,Western Sydney Wanderers,14,248442,17746
2016,Adelaide United,14,133905,9565
2016,Brisbane Roar,14,198131,14152
2016,Melbourne City,14,147398,10528
2016,Newcastle Jets,13,112380,8645
2016,Perth Glory,14,147459,10533
2016,Central Coast Mariners,13,96361,7412
2016,Wellington Phoenix,14,87129,6224
2017,Melbourne Victory,15,262334,17489
2017,Sydney FC,15,223326,14888
2017,Western Sydney Wanderers,13,155017,11924
2017,Adelaide United,13,127790,9830
2017,Brisbane Roar,14,127299,9093
2017,Melbourne City,15,144187,9612
2017,Newcastle Jets,16,200959,12560
2017,Perth Glory,13,119419,9186
2017,Central Coast Mariners,13,93525,7194
2017,Wellington Phoenix,14,74022,5694
2018,Melbourne Victory,15,304463,20298
2018,Perth Glory,16,219284,13705
2018,Sydney FC,14,188498,13464
2018,Brisbane Roar,13,125219,9632
2018,Western Sydney Wanderers,14,130370,9312
2018,Adelaide United,15,139420,9295
2018,Newcastle Jets,13,118029,9079
2018,Wellington Phoenix,14,119455,8533
2018,Melbourne City,13,105732,8133
2018,Central Coast Mariners,13,72300,5562
2019,Melbourne Victory,13,173662,17366
2019,Perth Glory,13,77155,7716
2019,Sydney FC,15,136467,9098
2019,Brisbane Roar,14,94911,8628
2019,Western Sydney Wanderers,13,128337,10695
2019,Adelaide United,13,90011,8183
2019,Newcastle Jets,13,76434,6949
2019,Wellington Phoenix,14,94821,8620
2019,Melbourne City,14,93305,7775
2019,Central Coast Mariners,13,58446,4871
2019,Western United,13,62185,5653
2020,Melbourne Victory,13,69873,5823
2020,Perth Glory,13,57320,4777
2020,Sydney FC,14,107600,7686
2020,Brisbane Roar,14,86540,6181
2020,Western Sydney Wanderers,13,104801,8062
2020,Adelaide United,13,95973,7383
2020,Newcastle Jets,13,52734,4056
2020,Wellington Phoenix,13,69283,5329
2020,Melbourne City,15,86158,6154
2020,Central Coast Mariners,14,79753,5697
2020,Western United,13,36737,3061
2020,Macarthur FC,13,45350,3488

